SETTLEMENT,LHZ_CODE,DISTRICT,REGION,LHZ
afweyn,5,Gaalkacyo,Mudug,hawd
afwiini,16,Baydhaba,Bay,bay
agabar,2,Gebiley,Woqooyi Galbeed,west golis
agamsaha,3,Gebiley,Woqooyi Galbeed,nw
agamsahahoose,3,Gebiley,Woqooyi Galbeed,nw
agamsahasare,3,Gebiley,Woqooyi Galbeed,nw
agamso,3,Gebiley,Woqooyi Galbeed,nw
ajin,16,Buur Hakaba,Bay,bay
alaalacadka,2,Hargeysa,Woqooyi Galbeed,west golis
aleemi,16,Baydhaba,Bay,bay
alifoow,17,Afgooye,Shabelle Hoose,rainfed
aliheley,2,Borama,Awdal,west golis
aliyowabukar,16,Baydhaba,Bay,bay
aliyowdooyow,16,Buur Hakaba,Bay,bay
aliyowgeele,16,Buur Hakaba,Bay,bay
allaqabe,16,Baydhaba,Bay,bay
amadaliyow,17,Wanla Weyn,Shabelle Hoose,rainfed
amalka,16,Baydhaba,Bay,bay
amarka,16,Buur Hakaba,Bay,bay
ambul,16,Buur Hakaba,Bay,bay
aminey,16,Buur Hakaba,Bay,bay
annayo,3,Hargeysa,Woqooyi Galbeed,nw
anoloow,16,Baydhaba,Bay,bay
aqalsaar,14,Balcad,Shabelle Dhexe,riverine
araay,16,Buur Hakaba,Bay,bay
araymooy,14,Afgooye,Shabelle Hoose,riverine
arbowdoole,16,Buur Hakaba,Bay,bay
ardaa,6,Ceerigaabo,Sanaag,nip
aroorseel,2,Borama,Awdal,west golis
aroosow,13,Luuq,Gedo,riverine
aroostole,16,Buur Hakaba,Bay,bay
arrinmoog,14,Afgooye,Shabelle Hoose,riverine
arydabaalcaliyowmuumin,16,Baydhaba,Bay,bay
asaakaay,16,Buur Hakaba,Bay,bay
asakaay,16,Baydhaba,Bay,bay
asalinwiini,16,Buur Hakaba,Bay,bay
asalinyarey,16,Baydhaba,Bay,bay
ashagow,16,Baydhaba,Bay,bay
ashka,16,Buur Hakaba,Bay,bay
awbarkhadle,3,Hargeysa,Woqooyi Galbeed,nw
awbasoow,16,Buur Hakaba,Bay,bay
awbirikaanaliyoow,16,Buur Hakaba,Bay,bay
awburdow,14,Afgooye,Shabelle Hoose,riverine
awcusman,17,Wanla Weyn,Shabelle Hoose,rainfed
awdhhubow,16,Buur Hakaba,Bay,bay
awdhurow,16,Buur Hakaba,Bay,bay
aweesbuulobogod,16,Baydhaba,Bay,bay
awguduud,17,Wanla Weyn,Shabelle Hoose,rainfed
awli,16,Buur Hakaba,Bay,bay
awmaadow,16,Baydhaba,Bay,bay
awmudey,17,Wanla Weyn,Shabelle Hoose,rainfed
awooyoow,16,Buur Hakaba,Bay,bay
awraame,16,Buur Hakaba,Bay,bay
awshakoy,17,Wanla Weyn,Shabelle Hoose,rainfed
awsheikhissaq,16,Baydhaba,Bay,bay
awshiine,16,Baydhaba,Bay,bay
awsuurudow,16,Buur Hakaba,Bay,bay
awxasanmad,16,Baydhaba,Bay,bay
awyaale,16,Buur Hakaba,Bay,bay
awyaay,16,Buur Hakaba,Bay,bay
awyeroow,16,Buur Hakaba,Bay,bay
aydooye,16,Buur Hakaba,Bay,bay
ayingoodi,16,Baydhaba,Bay,bay
ayooley,16,Baydhaba,Bay,bay
ayroobely,16,Baydhaba,Bay,bay
ayroobey,16,Baydhaba,Bay,bay
baab,16,Baydhaba,Bay,bay
baadieddi,16,Baydhaba,Bay,bay
baagaygaduudi,16,Baydhaba,Bay,bay
baageyasharaaf,16,Baydhaba,Bay,bay
baahini,16,Baydhaba,Bay,bay
baalgure,14,Afgooye,Shabelle Hoose,riverine
baaltaag,5,Cabudwaaq,Galgaduud,hawd
baanlow,16,Baydhaba,Bay,bay
baanyali,16,Baydhaba,Bay,bay
baarcad,5,Owdweyne,Togdheer,hawd
baarey,16,Baydhaba,Bay,bay
baargaal,7,Iskushuban,Bari,east golis
baarmadoobeye,6,Taleex,Sool,nip
baaroweyne,14,Jowhar,Shabelle Dhexe,riverine
baarweyn,6,Eyl,Nugaal,nip
baasmale,16,Buur Hakaba,Bay,bay
baayaleshaden,16,Baydhaba,Bay,bay
bacaadweyn,5,Galdogob,Mudug,hawd
bacadley,14,Balcad,Shabelle Dhexe,riverine
bacadweyn,5,Eyl,Nugaal,hawd
bacoolaha,6,Ceerigaabo,Sanaag,nip
badanbed,2,Borama,Awdal,west golis
badhigalissatellite,6,Ceel Afweyn,Sanaag,nip
badwayn,6,Caynabo,Sool,nip
bahadhamal,5,Hargeysa,Woqooyi Galbeed,hawd
bahwaley,16,Baydhaba,Bay,bay
bajeelo,9,Hobyo,Mudug,addun
bakala,16,Baydhaba,Bay,bay
bakale,16,Baydhaba,Bay,bay
bakaleaden,16,Diinsoor,Bay,bay
bakaley,16,Baydhaba,Bay,bay
bakali,16,Baydhaba,Bay,bay
bakalka,16,Diinsoor,Bay,bay
bakalla,16,Baydhaba,Bay,bay
bakallaagow,16,Baydhaba,Bay,bay
bakalle,16,Baydhaba,Bay,bay
balanbaasha,16,Diinsoor,Bay,bay
balash,16,Baydhaba,Bay,bay
balaygolis,5,Hargeysa,Woqooyi Galbeed,hawd
balbaley,14,Afgooye,Shabelle Hoose,riverine
baldooska,17,Afgooye,Shabelle Hoose,rainfed
baleey,17,Wanla Weyn,Shabelle Hoose,rainfed
baley,6,Garoowe,Nugaal,nip
balibali,16,Baydhaba,Bay,bay
balibusle,6,Laasqoray,Sanaag,nip
balicabane,5,Hargeysa,Woqooyi Galbeed,hawd
balicabdule,5,Owdweyne,Togdheer,hawd
balicad,5,Dhuusamarreeb,Galgaduud,hawd
balicaraale,6,Caynabo,Sool,nip
baliciise,5,Hargeysa,Woqooyi Galbeed,hawd
balicilmi,5,Owdweyne,Togdheer,hawd
balidhidin,7,Qandala,Bari,east golis
balihadhac,5,Buuhoodle,Togdheer,hawd
balimataan,5,Hargeysa,Woqooyi Galbeed,hawd
balishillin,7,Iskushuban,Bari,east golis
balishire,5,Hargeysa,Woqooyi Galbeed,hawd
balisiciid,5,Hargeysa,Woqooyi Galbeed,hawd
balixdiiriye,5,Burco,Togdheer,hawd
ballaadhis,6,Caynabo,Sool,nip
balliabokor,5,Burco,Togdheer,hawd
ballibusle,9,Gaalkacyo,Mudug,addun
ballicaraale,5,Owdweyne,Togdheer,hawd
ballidandan,5,Buuhoodle,Togdheer,hawd
ballidhiig,5,Burco,Togdheer,hawd
ballidoog,7,Bossaso,Bari,east golis
balligacas,2,Hargeysa,Woqooyi Galbeed,west golis
balligubadle,5,Hargeysa,Woqooyi Galbeed,hawd
ballihiille,5,Burco,Togdheer,hawd
ballikaliil,5,Hargeysa,Woqooyi Galbeed,hawd
ballikhadar,7,Bossaso,Bari,east golis
ballow,14,Afgooye,Shabelle Hoose,riverine
ballowshuungay,16,Buur Hakaba,Bay,bay
balmaadi,16,Baydhaba,Bay,bay
balmada,16,Baydhaba,Bay,bay
balmadibashiir,16,Baydhaba,Bay,bay
balooleigar,7,Ceel Afweyn,Sanaag,east golis
balowka,16,Baydhaba,Bay,bay
balowwiini,16,Buur Hakaba,Bay,bay
balowyari,16,Buur Hakaba,Bay,bay
banaadir,16,Qansax Dheere,Bay,bay
banaankaboorow,17,Balcad,Shabelle Dhexe,rainfed
bananey,17,Balcad,Shabelle Dhexe,rainfed
bananow,17,Wanla Weyn,Shabelle Hoose,rainfed
banbara,16,Baydhaba,Bay,bay
banbesla,16,Buur Hakaba,Bay,bay
banburaale,16,Buur Hakaba,Bay,bay
banbusul,16,Baydhaba,Bay,bay
bandarsalaama,14,Balcad,Shabelle Dhexe,riverine
bandhumi,16,Diinsoor,Bay,bay
bandhuub,16,Diinsoor,Bay,bay
bandiidley,5,Gaalkacyo,Mudug,hawd
bandiiraaley,9,Hobyo,Mudug,addun
bandiiradleey,5,Cadaado,Galgaduud,hawd
bandub,16,Diinsoor,Bay,bay
bandunbuto,6,Eyl,Nugaal,nip
baneylaaw,17,Wanla Weyn,Shabelle Hoose,rainfed
bangeele,5,Cabudwaaq,Galgaduud,hawd
banmeegag,16,Baydhaba,Bay,bay
banmunduli,13,Luuq,Gedo,riverine
bansoole,16,Buur Hakaba,Bay,bay
bantaal,13,Doolow,Gedo,riverine
banyaal,5,Buuhoodle,Togdheer,hawd
banyal,16,Diinsoor,Bay,bay
banyalewiine,16,Buur Hakaba,Bay,bay
banyaleyarow,16,Buur Hakaba,Bay,bay
banyari,16,Buur Hakaba,Bay,bay
baqbaq,6,Bandarbeyla,Bari,nip
baqlojabis,7,Ceerigaabo,Sanaag,east golis
baraagahaqol,6,Ceerigaabo,Sanaag,nip
barabuule,16,Buur Hakaba,Bay,bay
barakaay,16,Baydhaba,Bay,bay
barakow,16,Diinsoor,Bay,bay
barariya,16,Buur Hakaba,Bay,bay
bararwiin,16,Baydhaba,Bay,bay
baraybaray,16,Baydhaba,Bay,bay
barbaarees,11,Luuq,Gedo,southern
bardheere,14,Balcad,Shabelle Dhexe,riverine
bardixaaxle,6,Caynabo,Sool,nip
bareeda,7,Caluula,Bari,east golis
barey,14,Jowhar,Shabelle Dhexe,riverine
biyocase,1,Baki,Awdal,guban
barisoole,16,Baydhaba,Bay,bay
barkadlewiin,16,Buur Hakaba,Bay,bay
barkatle,16,Baydhaba,Bay,bay
barkatleyarey,16,Buur Hakaba,Bay,bay
barked,16,Buur Hakaba,Bay,bay
barookhle,6,Qardho,Bari,nip
barxa,7,Caluula,Bari,east golis
baryoole,16,Buur Hakaba,Bay,bay
basmala,16,Buur Hakaba,Bay,bay
batey,16,Buur Hakaba,Bay,bay
cabdigeeddi,1,Baki,Awdal,guban
baxdo,9,Cadaado,Galgaduud,addun
bayaxow,14,Balcad,Shabelle Dhexe,riverine
bayra,5,Galdogob,Mudug,hawd
bebelow,16,Buur Hakaba,Bay,bay
bedanbedey,16,Baydhaba,Bay,bay
bedinbedey,16,Baydhaba,Bay,bay
beebeega,5,Hargeysa,Woqooyi Galbeed,hawd
beelwacatay,7,Iskushuban,Bari,east golis
beerdhagaxtur,5,Gaalkacyo,Mudug,hawd
beerguduud,16,Baydhaba,Bay,bay
beerweyso,6,Ceerigaabo,Sanaag,nip
cabdigeedi,1,Baki,Awdal,guban
hadayta,1,Baki,Awdal,guban
bekelshele,16,Baydhaba,Bay,bay
beldulaamiin,16,Diinsoor,Bay,bay
beledaamin,16,Diinsoor,Bay,bay
beledamin,16,Qansax Dheere,Bay,bay
benlowyare,16,Baydhaba,Bay,bay
berahnooy,16,Baydhaba,Bay,bay
berkedacalixirsi,6,Caynabo,Sool,nip
bertashegalka,14,Afgooye,Shabelle Hoose,riverine
biderey,16,Diinsoor,Bay,bay
biike,6,Iskushuban,Bari,nip
bilcijabe,5,Owdweyne,Togdheer,hawd
bilcil,7,Caluula,Bari,east golis
bilcille,11,Belet Xaawo,Gedo,southern
bilcilweyso,5,Burco,Togdheer,hawd
biliil,16,Baydhaba,Bay,bay
biljamka,17,Balcad,Shabelle Dhexe,rainfed
bioaddo,7,Caluula,Bari,east golis
birigay,16,Qansax Dheere,Bay,bay
bisigadde,16,Buur Hakaba,Bay,bay
bisiqa,5,Burco,Togdheer,hawd
bitaale,9,Hobyo,Mudug,addun
biyiguur,16,Baydhaba,Bay,bay
sabawanag,1,Baki,Awdal,guban
biyomacan,3,Gebiley,Woqooyi Galbeed,nw
biyooley,16,Buur Hakaba,Bay,bay
bocoroow,14,Afgooye,Shabelle Hoose,riverine
bodacad,6,Ceerigaabo,Sanaag,nip
bogdaadi,16,Buur Hakaba,Bay,bay
bogongooy,16,Baydhaba,Bay,bay
bohol,9,Gaalkacyo,Mudug,addun
boholey,16,Baydhaba,Bay,bay
bokow,16,Baydhaba,Bay,bay
bole,5,Dhuusamarreeb,Galgaduud,hawd
bolidida,3,Hargeysa,Woqooyi Galbeed,nw
bolowka,16,Baydhaba,Bay,bay
bontafuroy,16,Baydhaba,Bay,bay
booc,9,Jariiban,Mudug,addun
boocame,6,Laas Caanood,Sool,nip
booclay,2,Hargeysa,Woqooyi Galbeed,west golis
boodaal,14,Balcad,Shabelle Dhexe,riverine
boodhka,3,Gebiley,Woqooyi Galbeed,nw
boon,2,Borama,Awdal,west golis
boonkaay,16,Buur Hakaba,Bay,bay
boonkay,16,Baydhaba,Bay,bay
boonyare,16,Baydhaba,Bay,bay
boorboor,16,Qansax Dheere,Bay,bay
boore,13,Doolow,Gedo,riverine
boorweel,16,Baydhaba,Bay,bay
booso,5,Cabudwaaq,Galgaduud,hawd
bootis,16,Baydhaba,Bay,bay
bootiyey,16,Baydhaba,Bay,bay
boqoljire,3,Hargeysa,Woqooyi Galbeed,nw
boqor,3,Gebiley,Woqooyi Galbeed,nw
borama,16,Baydhaba,Bay,bay
botor,3,Gebiley,Woqooyi Galbeed,nw
bowka,16,Baydhaba,Bay,bay
bukaareber,16,Buur Hakaba,Bay,bay
bukur,16,Baydhaba,Bay,bay
bulaabul,16,Buur Hakaba,Bay,bay
bulacle,9,Dhuusamarreeb,Galgaduud,addun
bulaley,5,Gaalkacyo,Mudug,hawd
bulloaamon,16,Baydhaba,Bay,bay
bullobilanbarow,16,Baydhaba,Bay,bay
bullodhato,16,Baydhaba,Bay,bay
beeyodhaadheer,1,Berbera,Woqooyi Galbeed,guban
bulloxasanmad,16,Baydhaba,Bay,bay
buloabdille,16,Baydhaba,Bay,bay
buloadandhakadow,17,Afgooye,Shabelle Hoose,rainfed
buloadowmudey,17,Wanla Weyn,Shabelle Hoose,rainfed
buloahmedali,17,Afgooye,Shabelle Hoose,rainfed
buloahmedmursal,17,Wanla Weyn,Shabelle Hoose,rainfed
buloayanle,17,Wanla Weyn,Shabelle Hoose,rainfed
bulobisiq,16,Baydhaba,Bay,bay
bulomohededindhere,16,Buur Hakaba,Bay,bay
buloqataar,17,Wanla Weyn,Shabelle Hoose,rainfed
bulorerawwine,17,Wanla Weyn,Shabelle Hoose,rainfed
ceeldaraad,1,Berbera,Woqooyi Galbeed,guban
bululwiin,16,Buur Hakaba,Bay,bay
bululyare,16,Buur Hakaba,Bay,bay
buluoroobay,16,Baydhaba,Bay,bay
bunbeegey,16,Diinsoor,Bay,bay
buq,8,Eyl,Nugaal,deeh
buqdheer,6,Taleex,Sool,nip
buraaga,16,Buur Hakaba,Bay,bay
buraan,6,Laasqoray,Sanaag,nip
burcodhheer,14,Jowhar,Shabelle Dhexe,riverine
bureymanas,16,Diinsoor,Bay,bay
burgaab,16,Baydhaba,Bay,bay
burgood,16,Buur Hakaba,Bay,bay
burgun,16,Baydhaba,Bay,bay
buri,16,Baydhaba,Bay,bay
burowadal,6,Laas Caanood,Sool,nip
burrorin,16,Baydhaba,Bay,bay
bursaalax,5,Galdogob,Mudug,hawd
busatale,17,Balcad,Shabelle Dhexe,rainfed
busul,16,Baydhaba,Bay,bay
butiyaalo,7,Qandala,Bari,east golis
butujidasare,3,Gebiley,Woqooyi Galbeed,nw
buubi,9,Gaalkacyo,Mudug,addun
buukoh,16,Baydhaba,Bay,bay
buulegaraw,16,Baydhaba,Bay,bay
buuleisaaqnorow,16,Baydhaba,Bay,bay
buuleiskagonaween,16,Baydhaba,Bay,bay
buulesheik,16,Baydhaba,Bay,bay
buullejadiid,16,Baydhaba,Bay,bay
buullobajiino,14,Balcad,Shabelle Dhexe,riverine
buullomakiino,14,Jowhar,Shabelle Dhexe,riverine
buullomodow,17,Balcad,Shabelle Dhexe,rainfed
buuloaaran,16,Baydhaba,Bay,bay
buuloadanibdow,16,Qansax Dheere,Bay,bay
buuloadow,16,Baydhaba,Bay,bay
buuloaduunyo,16,Baydhaba,Bay,bay
buuloagoon,16,Buur Hakaba,Bay,bay
buuloamiin,16,Buur Hakaba,Bay,bay
buuloamino,16,Baydhaba,Bay,bay
buuloanjero,16,Baydhaba,Bay,bay
buuloawyusuf,16,Buur Hakaba,Bay,bay
buuloaxmed,14,Jowhar,Shabelle Dhexe,riverine
buulobacaad,16,Buur Hakaba,Bay,bay
buulobacaada,14,Jowhar,Shabelle Dhexe,riverine
buulobakaaro,16,Baydhaba,Bay,bay
buulobatuulo,16,Baydhaba,Bay,bay
buulobishaaro,14,Jowhar,Shabelle Dhexe,riverine
buulobisiq,16,Baydhaba,Bay,bay
buulobiyooley,16,Baydhaba,Bay,bay
buulobudkeey,16,Baydhaba,Bay,bay
buulocajuusi,16,Baydhaba,Bay,bay
buulocaliyowaden,16,Baydhaba,Bay,bay
buulocaliyowmadxasanow,16,Baydhaba,Bay,bay
buulodaahir,16,Baydhaba,Bay,bay
buulodaleel,16,Baydhaba,Bay,bay
buulodanni,16,Baydhaba,Bay,bay
buulodeerow,17,Balcad,Shabelle Dhexe,rainfed
buulodhatoo,16,Baydhaba,Bay,bay
buulodiigow,16,Baydhaba,Bay,bay
buuloduuf,16,Baydhaba,Bay,bay
buuloeebinkabey,16,Buur Hakaba,Bay,bay
buuloeeley,16,Diinsoor,Bay,bay
buuloemed,16,Baydhaba,Bay,bay
buulofarey,16,Baydhaba,Bay,bay
buulofiidow,16,Baydhaba,Bay,bay
buulofiin,16,Baydhaba,Bay,bay
buulofulaay,16,Baydhaba,Bay,bay
buulofuurxassanbuule,16,Baydhaba,Bay,bay
buulogaasey,16,Baydhaba,Bay,bay
buulogaduudedhunte,16,Baydhaba,Bay,bay
buulogafay,16,Baydhaba,Bay,bay
buulogalole,16,Baydhaba,Bay,bay
buulogalool,16,Buur Hakaba,Bay,bay
buulogalooshi,16,Buur Hakaba,Bay,bay
buulogardhale,16,Baydhaba,Bay,bay
buulogarow,16,Baydhaba,Bay,bay
buulogarri,16,Baydhaba,Bay,bay
buulogoldhow,16,Baydhaba,Bay,bay
buulogoloolle,16,Baydhaba,Bay,bay
buulogomar,16,Baydhaba,Bay,bay
buulogomor,16,Diinsoor,Bay,bay
buulogudoow,16,Baydhaba,Bay,bay
buulogumur,16,Baydhaba,Bay,bay
buulogurbo,16,Baydhaba,Bay,bay
buulohareer,16,Qansax Dheere,Bay,bay
buulohareriley,16,Baydhaba,Bay,bay
buulohassanowmad,16,Buur Hakaba,Bay,bay
buuloholla,16,Baydhaba,Bay,bay
buuloibdow,16,Baydhaba,Bay,bay
buuloideed,16,Baydhaba,Bay,bay
buuloiman,16,Buur Hakaba,Bay,bay
buuloiriroogwiine,16,Baydhaba,Bay,bay
buuloirka,16,Baydhaba,Bay,bay
buuloisaq,16,Baydhaba,Bay,bay
buuloismaciilmacallim,16,Baydhaba,Bay,bay
buulojadud,16,Baydhaba,Bay,bay
buulojaiid,16,Buur Hakaba,Bay,bay
buulojidowtugeereyarey,16,Baydhaba,Bay,bay
buulojinaay,16,Baydhaba,Bay,bay
buulojinni,16,Baydhaba,Bay,bay
buulokathil,16,Baydhaba,Bay,bay
buulokuunto,14,Balcad,Shabelle Dhexe,riverine
buulokuusey,16,Baydhaba,Bay,bay
buulokuusow,16,Baydhaba,Bay,bay
buulomaalineedin,16,Baydhaba,Bay,bay
buulomadbaadhil,16,Baydhaba,Bay,bay
buulomandero,16,Baydhaba,Bay,bay
buulomariin,16,Buur Hakaba,Bay,bay
buulomasaajid,16,Qansax Dheere,Bay,bay
buulomatiili,16,Baydhaba,Bay,bay
buulomoddi,16,Baydhaba,Bay,bay
buulomogaw,16,Baydhaba,Bay,bay
buulomoobleen,17,Jowhar,Shabelle Dhexe,rainfed
buulomundul,16,Qansax Dheere,Bay,bay
buulonuuney,16,Baydhaba,Bay,bay
buulooomane,16,Diinsoor,Bay,bay
buuloqadisuleyman,16,Baydhaba,Bay,bay
buuloqaran,16,Baydhaba,Bay,bay
buuloqidan,16,Baydhaba,Bay,bay
buuloqurin,16,Baydhaba,Bay,bay
buuloraaxo,14,Balcad,Shabelle Dhexe,riverine
buulorama,16,Baydhaba,Bay,bay
buuloramo,16,Baydhaba,Bay,bay
buuloraqi,14,Balcad,Shabelle Dhexe,riverine
buulorerawfoge,16,Buur Hakaba,Bay,bay
buulosalaama,16,Baydhaba,Bay,bay
buulosheekh,16,Qansax Dheere,Bay,bay
buulosheekhmadqaadi,16,Baydhaba,Bay,bay
buuloshiiq,5,Dhuusamarreeb,Galgaduud,hawd
buuloshiiqaalow,14,Jowhar,Shabelle Dhexe,riverine
buulosiidow,16,Baydhaba,Bay,bay
buulosinqi,16,Baydhaba,Bay,bay
buulosoofi,16,Baydhaba,Bay,bay
buulosugaw,16,Baydhaba,Bay,bay
buulotaakoy,16,Baydhaba,Bay,bay
buulotarniil,16,Baydhaba,Bay,bay
buulotigoow,16,Baydhaba,Bay,bay
buulotowsiile,16,Buur Hakaba,Bay,bay
buulotubako,16,Baydhaba,Bay,bay
buulotugeerey,16,Baydhaba,Bay,bay
buulotuweer,16,Baydhaba,Bay,bay
buuloubur,16,Baydhaba,Bay,bay
buuloumurow,16,Baydhaba,Bay,bay
buulouunsin,16,Baydhaba,Bay,bay
buulowaray,14,Jowhar,Shabelle Dhexe,riverine
buulowariiri,16,Diinsoor,Bay,bay
buulowarta,16,Baydhaba,Bay,bay
buuloxaansho,16,Baydhaba,Bay,bay
buuloxaawa,16,Baydhaba,Bay,bay
buuloxaawo,16,Baydhaba,Bay,bay
buuloxabiibo,16,Baydhaba,Bay,bay
buuloxaydar,16,Baydhaba,Bay,bay
buuloxuji,16,Baydhaba,Bay,bay
buuloxuseen,16,Baydhaba,Bay,bay
buuloxussenmadiiman,16,Baydhaba,Bay,bay
buuloyaroy,16,Baydhaba,Bay,bay
buuloyuusuf,16,Baydhaba,Bay,bay
buurane,14,Jowhar,Shabelle Dhexe,riverine
buurey,16,Baydhaba,Bay,bay
buureydeerow,16,Buur Hakaba,Bay,bay
buurfuule,14,Jowhar,Shabelle Dhexe,riverine
buurmidow,16,Buur Hakaba,Bay,bay
buurohadal,6,Laas Caanood,Sool,nip
buuroxamur,7,Caluula,Bari,east golis
caadda,2,Gebiley,Woqooyi Galbeed,westgolis
caanalskax,6,Taleex,Sool,nip
caanole,16,Baydhaba,Bay,bay
caanooley,17,Afgooye,Shabelle Hoose,rainfed
ceelsheekh,1,Berbera,Woqooyi Galbeed,guban
caashafarto,16,Baydhaba,Bay,bay
caashagaabo,16,Baydhaba,Bay,bay
caashe,16,Baydhaba,Bay,bay
caashogaabohubeereed,16,Baydhaba,Bay,bay
cabaale,5,Buuhoodle,Togdheer,hawd
cabaasa,2,Borama,Awdal,west golis
cabdallashaaban,16,Buur Hakaba,Bay,bay
cabdidheere,5,Owdweyne,Togdheer,hawd
cabdigaladi,14,Jowhar,Shabelle Dhexe,riverine
geeri,1,Berbera,Woqooyi Galbeed,guban
gumbuxo,1,Berbera,Woqooyi Galbeed,guban
cabdilqaaddir,2,Zeylac,Awdal,west golis
cabdisamad,3,Hargeysa,Woqooyi Galbeed,nw
cabdiureen,16,Buur Hakaba,Bay,bay
cabdulecadde,17,Balcad,Shabelle Dhexe,rainfed
cabullekudad,14,Balcad,Shabelle Dhexe,riverine
cadaadkulaale,6,Ceel Afweyn,Sanaag,nip
cadad,9,Dhuusamarreeb,Galgaduud,addun
cadagaboorow,17,Balcad,Shabelle Dhexe,rainfed
cadakibir,5,Cadaado,Galgaduud,hawd
cadaygabgabo,5,Gaalkacyo,Mudug,hawd
caddoowe,2,Zeylac,Awdal,west golis
cadeyga,17,Balcad,Shabelle Dhexe,rainfed
cadeykuudka,16,Buur Hakaba,Bay,bay
cadeyley,17,Afgooye,Shabelle Hoose,rainfed
cadilow,17,Jowhar,Shabelle Dhexe,rainfed
caduur,7,Ceerigaabo,Sanaag,east golis
cagaarow,16,Baydhaba,Bay,bay
cagadoon,5,Hargeysa,Woqooyi Galbeed,hawd
cagararan,5,Burco,Togdheer,hawd
calaacule,2,Sheikh,Togdheer,west golis
caliaadan,5,Hargeysa,Woqooyi Galbeed,hawd
calibaadi,16,Baydhaba,Bay,bay
calidheer,17,Jowhar,Shabelle Dhexe,rainfed
caliirib,16,Baydhaba,Bay,bay
calisaboy,16,Buur Hakaba,Bay,bay
caliwaraabey,17,Jowhar,Shabelle Dhexe,rainfed
caliyaalo,17,Balcad,Shabelle Dhexe,rainfed
caliyowcusman,16,Buur Hakaba,Bay,bay
caliyowmaadow,16,Buur Hakaba,Bay,bay
caliyowmarayle,16,Baydhaba,Bay,bay
caliyowmuumin,16,Baydhaba,Bay,bay
caliyowyuuqow,16,Buur Hakaba,Bay,bay
cambaarhoose,6,Qardho,Bari,nip
cammaan,6,Iskushuban,Bari,nip
cammuudculus,2,Zeylac,Awdal,west golis
camoud,6,Ceel Afweyn,Sanaag,nip
camuud,3,Borama,Awdal,nw
canjeel,7,Qandala,Bari,east golis
caracaso,5,Jariiban,Mudug,hawd
carawayne,2,Baki,Awdal,west golis
carbiska,17,Afgooye,Shabelle Hoose,rainfed
carfuuda,9,Gaalkacyo,Mudug,addun
carmale,6,Ceerigaabo,Sanaag,nip
hayle,1,Berbera,Woqooyi Galbeed,guban
caroweyne,2,Lughaye,Awdal,west golis
caroyanbo,3,Hargeysa,Woqooyi Galbeed,nw
carragaduud,16,Baydhaba,Bay,bay
carrobaydhay,3,Hargeysa,Woqooyi Galbeed,nw
carromadow,3,Hargeysa,Woqooyi Galbeed,nw
