"Incident ID",Year,Month,Day,"Country Code",Country,Region,District,City,UN,INGO,ICRC,"NRCS and IFRC",NNGO,Other,"Nationals killed","Nationals wounded","Nationals kidnapped","Total nationals","Internationals killed","Internationals wounded","Internationals kidnapped","Total internationals","Total killed","Total wounded","Total kidnapped","Total affected","Gender Male","Gender Female","Gender Unknown","Means of attack","Attack context",Location,Latitude,Longitude,Motive,"Actor type","Actor name",Details,Verified,Source
#event+id,#date+year,#date+month,#date+day,#country+code,#country+name+i_en,#adm1+name+i_en,#adm2+name+i_en,#adm3+name+i_en,#affected+UN,#affected+INGO,#affected+ICRC,#affected+IFRC,#affected+NGO,#affected+other,#affected+killed+national,#affected+injured+national,#affected+kidnapped+national,#affected+total+national,#affected+killed+international,#affected+injured+international,#affected+kidnapped+international,#affected+total+international,#affected+total+killed,#affected+total+injured,#affected+total+kidnapped,#affected+total,#affected+total+m,#affected+total+f,#affected+total+i,#event+means+i_en,#event+type+i_en,#loc+type+i_en,#geo+lat,#geo+lon,#x_event_motive,#group+type+i_en,#group+name+i_en,#description+i_en,,
3233,2020,9,30,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack","Public location",2.033333,45.333333,Economic,Unknown,Unknown,"One UN national male staff was injured when stabbed during a street robbery in Mogadishu.
",Yes,"Focal Point"
3097,2020,10,27,SO,Somalia,Banadir,Banadir,Mogadishu,0,0,0,0,2,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,2,"Vehicle-born IED","Individual attack","Public location",2.033333,45.333333,Political,"Non-state armed group: Regional","Al Shabaab","Two NGO staff members were reportedly killed after a vehicle-borne IED exploded in the capital Mogadishu. Media reports indicate a polio vaccination campaign group consisting of health workers, humanitarian staff, and government officials was attacked by Al Shabaab militants. The militants first attacked with guns shooting and killing an official and a health worker, before fleeing and triggering the VBIED.
",Yes,Media
3100,2020,10,30,SO,Somalia,"Lower Shabelle",Afgooye,"Elasha Biyaha",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,"Individual attack","Public location",2.033333,45.35,Unknown,"Non-state armed group: Regional","Al Shabaab","One head of a local NGO and well-known community elder was reportedly shot and killed by Al Shabaab militants in Elasha Biyaha village, Afgooye district.
",Yes,"Official Report"
3101,2020,10,31,SO,Somalia,Bay,Qansah-Dhere,,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Vehicle-born IED",Combat/Crossfire,"Public location",2.53,42.58,Incidental,Unknown,Unknown,"One NGO staff member was reportedly injured after a vehicle-borne IED exploded as the staff passed by. The IED was placed on a vehicle carrying the district chief, the intended target, and killed the official along with his bodyguard.
",Yes,"Official Report"
3532,2021,1,7,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"Roadside IED",Combat/Crossfire,"Public location",2.039167,45.341944,Incidental,"Non-state armed group: Regional","Al Shabaab","One UN contacted security guard was killed when he was walking beside a road and a vehicle hit an IED in Mogadishu. Al Shabaab claimed responsibility.
",Yes,"Focal Point"
3177,2021,1,31,SO,Somalia,Banadir,Banadir,Mogadishu,0,2,0,0,0,0,2,0,0,2,0,0,0,0,2,0,0,2,2,0,0,"Complex attack",Raid,"Public location",2.033333,45.333333,Unknown,"Non-state armed group: Unknown","Not applicable","Two INGO staff were killed in a complex attack on a hotel in Mogadishu.
",Yes,"Official Report"
3143,2021,2,2,SO,Somalia,Banadir,Banadir,Mogadishu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,"Complex attack",Raid,"Public location",2.0299564,45.3101475,Incidental,"Non-state armed group: Regional","Al Shabaab","One INGO staff member was killed during a complex attack on the Afrik Hotel in Mogadishu. Official statements report Al Shabaab militants exploded a car bomb outside the hotel and then stormed the building with guns. 4 other civilians were killed and 10 injured (not counted here).
",Yes,"Official Report"
3269,2021,3,5,SO,Somalia,Galguduud,Cabudwaaq,Dhabad,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,Unknown,Unknown,6.148109,46.39727,Unknown,"Non-state armed group: Subnational","Marehan-Wagardhac militia","One NGO staff was reportedly kidnapped by Mare-Wagardhac sub-clan militia members in Dhabad village, Galgaduud.
",Yes,ACLED
3438,2021,10,21,SO,Somalia,Hiraan,Jalalaqsi,Jalalaqsi,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,Shooting,Raid,"Project site",3.4,45.583333,Economic,"Non-state armed group: Subnational","Hawadle Clan militia","One NGO staff member was shot and killed by a militia member after refusing a food ration card the perpetrator was not entitled to.
",Yes,ACLED
3478,2022,1,12,SO,Somalia,Banadir,Banadir,Mogadishu,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Vehicle-born IED",Combat/Crossfire,Road,2.033333,45.333333,Incidental,"Non-state armed group: Unknown","Not applicable","One UN humanitarian agency staff member driving a vehicle in Mogadishu was injured after a VBIED targeting a nearby convoy exploded.
",Yes,"Official Report"
3751,2022,1,16,SO,Somalia,Banadir,Banadir,Mogadishu,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Other Explosives",Ambush,Road,2.039167,45.341944,Unknown,"Non-state armed group: National","Not applicable","One national male INGO worker was injured by a hand grenade attack in Mogadishu.
",Yes,"Focal Point"
3760,2022,3,23,SO,Somalia,Hiraan,Beledweyne,Beledweyne,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Body-borne IED",Unknown,Unknown,4.735833,45.203611,Incidental,"Non-state armed group: National","Al Shabaab","One male national UN staff sustained major injuries during an explosion in the Lamagalay administration area in Beledweyne, targeting government and security personnel. Another UN staff, 20 security forces personnel, 14 civilians, and one AMISOM soldier also sustained injuries (not counted).
",Yes,"Focal Point"
3699,2022,9,3,SO,Somalia,Hiraan,Beledweyne,"Bettween Mahas and Beledweyne",0,0,0,0,14,0,14,0,0,14,0,0,0,0,14,0,0,14,0,0,14,"Bodily assault",Ambush,Road,4.419871,45.753025,Political,"Non-state armed group: Regional","Al Shabaab","14 aid workers were killed in an aid convoy of 7 trucks carrying food, by Al Shabaab militants, on the road between Mahas and Beledweyne districts, Hiraan region. All the trucks were burned.
",Yes,Media
3658,2022,10,1,SO,Somalia,Bay,Baydhaba,Geldheere,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,"Other Explosives",Raid,"Project site",3.100104,43.733038,Unknown,"Non-state armed group: National","Al Shabaab","One NGO staff member was injured in an RPG attack while completing project activities in Geldheere village, near Baidoa town, Bay.
",Yes,ACLED
3709,2023,2,11,SO,Somalia,Somaliland,Sool,Lasanod,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Unknown,"Public location",8.476,47.357,Unknown,Unknown,Unknown,"One male first aid instructor volunteer from the Somali Red Crescent was killed by a stray bullet in Lasanod, Sool, Somaliland.",Yes,Media
3725,2023,2,22,SO,Somalia,Bari,Bosaso,"Xiniinyo Warsangeli",0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,Shooting,Combat/Crossfire,"Public location",11.282146,49.176987,Unknown,Unknown,Unknown,"One national NGO driver was shot and killed at a teashop by unknown armed men in Xiniinyo Warsangeli area, Bari region.",Yes,Media
4105,2023,3,9,SO,Somalia,Bay,Dinsoor,Dinsoor,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,"Individual attack","Public location",2.410556,42.976667,Political,Unknown,Unknown,"One INGO staff member was shot in the leg while standing in front of the office building in Dinsoor, Bay region. He was taken for medical treatment and has since almost fully recovered.",Yes,"Focal Point"
3781,2023,4,7,SO,Somalia,Banadir,Mogadishu,Mogadishu,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,Shooting,"Individual attack","Public location",2.039167,45.341944,Political,Unknown,Unknown,"One national female UN polio vaccination worker was shot dead by unknown actors in Mogadishu while going house to house informing about the polio vaccination campaign.",Yes,Media
3872,2023,6,6,SO,Somalia,Hiraan,Hiraan,"Between Farlibah and Beledweyne",0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,5,Kidnapping,Ambush,Road,4.783333,45.45,Economic,"Non-state armed group: National","Al Shabaab","Five NGO staff members were kidnapped by Al Shabaab militants on the road between Farlibah village and Beledweyne, around Morodiile, Hiraan. They were all released over a week later after a ransom demand.",Yes,ACLED
3833,2023,6,10,SO,Somalia,Banadir,Mogadishu,Mogadishu,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,"Complex attack",Raid,"Public location",2.0426027,45.3596617,Incidental,"Non-state armed group: National","Al Shabaab","One UN female aid worker was killed during a siege by Al Shabaab members in Lido Beach, Mogadishu. Eight other people were killed, and 10 were injured, including members of the Somali security forces and civilians.",Yes,Media
3874,2023,6,24,SO,Somalia,Bay,Bay,Bansoole,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,0,3,3,1,0,2,Kidnapping,Ambush,Road,3.074444,43.835278,Political,"Non-state armed group: National","Al Shabaab","Two national NGO contractors and the driver were kidnapped by Al Shabaab near Bansoole village, Buur Hakaba, Bay due to their NGO affiliation.",Yes,ACLED
4137,2023,7,8,SO,Somalia,Sool,"Las Anod","Las Anod",0,5,0,0,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,5,Shelling,Combat/Crossfire,"Project site",8.476,47.357,Disputed,"Non-state armed group: National","Al Shabaab","5 healthcare staff supported by an INGO, at the Las Anod General Hospital were injured due to shelling.",Yes,"Focal Point"
3897,2023,7,21,SO,Somalia,"Lower Juba",Afmadow,Dhobley,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,Shooting,Ambush,Road,0.515556,42.073333,Unknown,Unknown,Unknown,"One INGO driver was injured when unknown armed men opened fire on the vehicle he was driving near Dhobley town, Afmadow, Lower Juba.",Yes,ACLED
4056,2023,8,6,SO,Somalia,Bay,Baydhaba,"Jakaton IDP camp",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,"Bodily assault","Individual attack","Project site",3.127168,43.663831,Political,"Host state","Somali Armed Forces","One male INGO aid worker was physically assaulted by soldiers from the Somali Armed Forces after refusing to add them to the list of beneficiaries at the Jakaton IDP camp, in Baidoa. The program was temporarily suspended due to the incident.",Yes,"Focal Point"
3896,2023,8,9,SO,Somalia,Togdheer,Togdheer,"Daba Goryaale",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,Kidnapping,Ambush,Road,8.664230,45.844277,Unknown,"Non-state armed group: Subnational","Dulmi-diid clan militia","One national NGO driver was abducted when the Dulmi-diid clan militia entered Daba Goryaale village and carjacked two NGO-owned vehicles in the Togdheer region. His whereabouts remain unknown.",Yes,"Official Report"
3918,2023,8,12,SO,Somalia,Hiraan,Beledweyne,Beledweyne,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,Kidnapping,"Individual attack",Home,4.735833,45.203611,Economic,Unknown,Unknown,"One UN staff member, off-duty and at home, was kidnapped by unknown armed for ransom in Beledweyne, Hiraan. He was held for more than 24 hours, but released unharmed.
",Yes,ACLED
4025,2024,1,18,SO,Somalia,Gedo,Dolow,"Qansaley IDP camp",0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,Shooting,Unknown,"Project site",4.160525,42.078457,Unknown,"Host state","Somali Armed Forces","One national LNGO aid worker was injured when a government soldier shot the vehicle the aid worker was in Qansaley IDP camp, Dolow.
",Pending,ACLED
4128,2024,4,4,SO,Somalia,Banadir,Banadir,Mogadishu,0,2,0,0,0,0,1,0,0,1,1,0,0,1,2,0,0,2,1,0,1,Shooting,Ambush,Road,2.095567,45.366741,Unknown,"Non-state armed group: Regional","Al Shabaab","One international INGO aid worker and one national INGO aid worker were killed by Al Shabaab militants when on their way to deliver food assistance in Mogadishu.",Pending,Media
